[-4.199643611907959, 8.130168914794922]
[-3.90767765045166, 8.122270584106445]
[-2.8244543075561523, 7.734906196594238]
[-3.051161050796509, 7.847099781036377]
[-2.5981075763702393, 8.076519012451172]
[-4.093489170074463, 8.156493186950684]
[-4.284131050109863, 7.9754319190979]
[-2.2655441761016846, 9.302480697631836]
[-30.048276901245117, 46.48563766479492]
[-30.011184692382812, 46.453697204589844]
[-32.2548828125, 48.04869842529297]
[-29.532960891723633, 46.52199172973633]
[-32.278289794921875, 48.417083740234375]
[-32.267906188964844, 48.28910446166992]
[-31.8251895904541, 48.966590881347656]
[21.855419158935547, -17.60943603515625]
[22.551530838012695, -21.024253845214844]
[22.663511276245117, -20.911184310913086]
[22.582490921020508, -20.98358917236328]
[22.53776741027832, -21.226022720336914]
[22.58698081970215, -21.10051155090332]
[22.660831451416016, -20.902111053466797]
[22.659421920776367, -21.113338470458984]
[22.688526153564453, -20.939498901367188]
[22.679468154907227, -20.789915084838867]
[22.729068756103516, -20.951217651367188]
[22.670320510864258, -21.009519577026367]
[22.736278533935547, -20.89906120300293]
[22.442415237426758, -21.744522094726562]
[22.666976928710938, -20.855247497558594]
[22.736085891723633, -20.990432739257812]
[22.6662654876709, -21.011011123657227]
[22.72040557861328, -21.096654891967773]
[37.29279708862305, -11.044540405273438]
[37.28151321411133, -11.174047470092773]
[37.25035095214844, -11.165177345275879]
[36.954139709472656, -11.171533584594727]
[35.45015335083008, -11.330131530761719]
